Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Frozen Goods,792359,5099556024078	,BIG AL'S MAC N'CHEESE POPS,4 x 1kgm,NA,£33.96,0.0%,In Stock,KEPAK CONVENIENCE FOODS,NA,No
Soft Drinks,915933,5000382113119	,BARRS COLA 1.19,6 x 2ltr,£1.19,£4.29,20.0%,In Stock,Tennant & Ruttle,For more information on this product visit www.barrflavours.co.uk,No
"Confectionery, Crisps & Snacks",768731,5000159532877	,GALAXY MILK 60P,24 x 42grm,£0.60,£8.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,60p RRP****Recommended Retail Price,No
"Confectionery, Crisps & Snacks",768732,5000159532853	,MILKYWAY 60P,28X43GRM,£0.60,£10.89,20.0%,In Stock,Mars Wrigley DAP UK Ltd,60p RRP****Recommended Retail Price,No
Soft Drinks,665346,5391521831057	,CLUB ORANGE BOTTLE,8X1.75LTR,£2.29,£13.29,20.0%,In Stock,Britvic Northern Ireland,Club Orange Bottle 1.75L,No
Soft Drinks,791670,4060800305619	,7UP REGULAR,8 x 2ltr,£1.99,£9.49,20.0%,In Stock,Britvic Northern Ireland,7UP Regular Lemon & Lime Bottle 2L,No
Soft Drinks,103149,5011026005592	,PEPSI MAX,8 x 2ltr,£2.39,£9.99,20.0%,In Stock,Pepsi,Pepsi Max Sugar Free Cola Bottle 2L,No
Soft Drinks,915932,5000382113256	,BARRS BUBBLEGUM 1.19,6 x 2ltr,£1.19,£4.29,20.0%,In Stock,Tennant & Ruttle,For more information information on this product visit www.barrflavour.co.uk,No
Soft Drinks,251514,8717700002402	,7UP FREE,8 x 2ltr,£1.99,£9.49,20.0%,In Stock,7UP,7UP Free Lemon & Lime Bottle 2L,No
"Confectionery, Crisps & Snacks",763907,4009900534956	,SKITTLES GIANT FRUIT 1.00,12 x 125grm,£1.00,£6.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Skittles Giants Fruit Sweets £1 PMP Bag 125g,No
"Confectionery, Crisps & Snacks",760159,5012035960759	,HARIBO MAO MIX 1.00,12 x 140grm,£1.00,£6.49,20.0%,In Stock,Haribo Ltd,MAOAM MaoMixx 140g,No
"Confectionery, Crisps & Snacks",754184,4009900526838	,STARBURST MINIS 1.00,12 x 125grm,£1.00,£6.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Starburst Minis Original Sweets £1 PMP Treat Bag 125g,No
"Confectionery, Crisps & Snacks",754183,4009900527101	,SKITTLES CHEWIES 1.00,12 x 125grm,£1.00,£6.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Skittles Chewies Fruits Sweets £1 PMP Treat Bag 125g,No
"Confectionery, Crisps & Snacks",613751,5012035950941	,MAOAM JOYSTIXX 1.00,12 x 140grm,£1.00,£6.49,20.0%,In Stock,Haribo Ltd,MAOAM Joystixx Bag 140g £1PM,No
"Confectionery, Crisps & Snacks",606971,5012035949754	,HARIBO MAOAM STRIPES 1.00,12 x 140grm,£1.00,£6.49,20.0%,In Stock,Haribo Ltd,MAOAM Stripes Bag 140g £1PM,No
"Confectionery, Crisps & Snacks",473933,4009900503822	,STARBURST FAVE REDS 1.00,12X141GRM,£1.00,£6.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Starburst Fave Reds Fruit Chews Sweets £1 PMP Treat Bag 141g,No
"Confectionery, Crisps & Snacks",494658,4009900504768	,SKITTLES TROPICAL 1.00,12 x 125grm,£1.00,£6.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Skittles Tropical Sweets £1 PMP Treat Bag 125g,No
Soft Drinks,637119,5011026701180	,MI WADI D/C NAS BLACKCURRANT,12 x 1ltr,£1.69,£13.29,20.0%,In Stock,Mi Wadi,Enjoy as part of a varied and balanced diet and a healthy lifestyle.,No
Soft Drinks,637109,5011026701197	,MI WADI D/C NAS ORG/PINE,12 x 1ltr,£1.69,£13.29,20.0%,In Stock,Mi Wadi,Enjoy as part of a varied and balanced diet and a healthy lifestyle.,No
Soft Drinks,637049,5011026701173	,MI WADI D/C NAS ORANGE,12 x 1ltr,£1.69,£13.29,20.0%,In Stock,Mi Wadi,Enjoy as part of a varied and balanced diet and a healthy lifestyle.,No
Soft Drinks,224854,5000147030125	,ROB NAS ORANGE,12 x 1ltr,£1.59,£11.49,20.0%,In Stock,Robinsons,ROBINSONS Real Fruit Orange 1 Litre,No
Soft Drinks,547727,5054267006119	,RIBENA STRAWBERRY,24 x 250mls,£0.85,£9.09,20.0%,In Stock,Suntory GB Ltd,Ribena No Added Sugar Strawberry Juice Drink Carton 250ml,No
Soft Drinks,445524,5010386102767	,SUKIE STRAWBERRY,10 x 500mls,£0.79,£3.45,20.0%,In Stock,Dromona Quality Foods,Supports local farmers - with every pack purchased,No
Soft Drinks,445523,5010386101463	,SUKIE ORANGE,10 x 500mls,£0.79,£3.45,20.0%,In Stock,Dromona Quality Foods,Supports local farmers purchased - with every pack purchased,No
Catering Dry Goods,764894,8712566234554	,* KNORR 100% CHKN & VEG SOUP,4 x 2.5kgm,NA,£25.65,0.0%,In Stock,Unilever Foods Irl Ltd Food So,Knorr Professional 100% Soup Chicken & Veg 4x2.5KG,No
Catering Dry Goods,720027,5000118053344	,* KNORR 100% BEEF GOULASH SOUP,1X2.4LTR,NA,£6.45,0.0%,In Stock,Unilever Foods Irl Ltd Food So,NA,No
Catering Dry Goods,720026,5000118053344	,* KNORR 100% BEEF GOULASH SOUP,4X2.4LTR,NA,£25.65,0.0%,In Stock,Unilever Foods Irl Ltd Food So,Knorr Professional 100% Soup Beef Goulash 4x2.5KG,No
Soft Drinks,547726,5054267006102	,RIBENA BLACKCURRANT,24 x 250mls,£0.85,£9.09,20.0%,In Stock,Suntory GB Ltd,Ribena Blackcurrant Juice Drink Carton 250ml,No
Catering Dry Goods,696261,4000492062117	,KNORR 100% SOUP MINESTRONE,1X2.4LTR,NA,£6.45,0.0%,In Stock,Unilever UK Foodservice,NA,No
Catering Dry Goods,696260,4000492062117	,KNORR 100% SOUP MINESTRONE,4X2.4LTR,NA,£25.65,0.0%,In Stock,Unilever UK Foodservice,Knorr Professional 100% Soup Minestrone 4x2.5KG,No
Catering Dry Goods,696259,8711200307401	,KNORR 100% LEEK & POTATOSOUP,1X2.4LTR,NA,£6.45,0.0%,In Stock,Unilever UK Foodservice,NA,No
Catering Dry Goods,696258,8711200307401	,KNORR 100% LEEK & POTATOSOUP,4X2.4LTR,NA,£25.65,0.0%,In Stock,Unilever UK Foodservice,Knorr Professional 100% Soup Leek & Potato 4x2.5KG,No
Catering Dry Goods,663732,8718114963952	,KNORR LEEK+POT 200 PTN SOUP,1 x 200,NA,£14.79,0.0%,In Stock,Knorr,Explore more at ufs.com/knorrprofessional,No
Catering Dry Goods,529768,4000492062100	,* KNORR 100% CREAM OF CHKN SOUP,1X2.4LTR,NA,£6.45,0.0%,In Stock,Knorr,NA,No
Catering Dry Goods,529767,4000492062100	,* KNORR 100% CREAM OF CHKN SOUP,4X2.4LTR,NA,£25.65,0.0%,In Stock,Knorr,Knorr Professional 100% Soup Chicken 4x2.5KG,No
Catering Dry Goods,663729,8718114964072	,* KNORR CHICKEN 200PTN SOUP,1 x 200,NA,£14.79,0.0%,In Stock,Knorr,Explore more at ufs.com/knorrprofessional,No
Catering Dry Goods,663728,8718114964003	,KNORR TOMATO 200 PTN SOUP,1 x 200,NA,£14.79,0.0%,In Stock,Knorr,Explore more at ufs.com/knorrprofessional,No
Soft Drinks,915878,5054267012103	,RIBENA VERY BERRY 1.19,12 x 500mls,£1.19,£7.99,20.0%,In Stock,Suntory GB Ltd,Ribena Very Berry Juice Drink 500ml PMP £1.19,No
"Confectionery, Crisps & Snacks",673916,80310167	,KINDER SNACK BAR T6,20X126GRM,£1.59,£19.49,20.0%,In Stock,Kinder,Be Treatwise.netFor more information visit: www.kinder.co.uk,No
Soft Drinks,915865,5054267012110	,RIBENA STRAWBERRY 1.19,12 x 500mls,£1.19,£7.99,20.0%,In Stock,Suntory GB Ltd,Ribena Strawberry Juice Drink No Added Sugar 500ml PMP £1.19,No
"Confectionery, Crisps & Snacks",471265,7622210400604	,CDM KIDS MULTI PACK,18X108GRM,£1.00,£12.79,20.0%,In Stock,Kraft Foods UK Ltd,BeTreatwise.netCocoa LifePartnering with Fairtrade FoundationCocoa Life helps farmers get the most from their cocoa trees through environmentally friendly farmingwww.cocoalife.org,No
"Confectionery, Crisps & Snacks",511675,7613035220249	,KIT KAT 4F 3PK 1.00,20X125GRM,£1.00,£13.99,20.0%,In Stock,Nestle UK Ltd,"Join us at facebook.com/kitkatukShare your break with  #MyBreakCheck out our YouTube Channel at www.youtube.com/user/kitkatVisit www.kitkat.co.ukGood to remember, enjoying chocolate as part of a varied, balanced diet and a healthy lifestyle, is one of life's little pleasures",No
"Confectionery, Crisps & Snacks",441809,7613034335210	,MILKYBAR SMALL 6PK,25X72GRM,£1.00,£17.99,20.0%,In Stock,Milkybar,Visit us at www.,No
"Confectionery, Crisps & Snacks",440431,7622201431709	,CADBURY CHOMP 5PK,18 x 105grm,£1.00,£12.89,20.0%,In Stock,Kraft Foods UK Ltd,BeTreatwise.netCadbury WorldHave you visited Cadbury World yet? It's great fun for all the family. Check out our assortment of chocolatey zones and book tickets at cadburyworld.co.ukCadbury Gifts DirectGift ideas from Cadbury? visit www.cadburygiftsdirect.co.uk or order by phone 0845 600 3113Cocoa LifePartnering with Fairtrade Foundationcocoalife.org,No
"Confectionery, Crisps & Snacks",754948,3800020412084	,KIT KAT CHUNKY 1.00 4PK,24X128GRM,£1.00,£16.99,20.0%,In Stock,Nestle UK Ltd,"Visit www.kitkat.co.ukGood to remember, enjoying chocolate as part of a varied, balanced diet and a healthy lifestyle, is one of life's little pleasures",No
Catering Dry Goods,660637,8718114963914	,KNORR THICK VEG SOUP 200PTN,1 x 200pce,NA,£14.79,0.0%,In Stock,Knorr,Explore more at ufs.com/knorrprofessional,No
Soft Drinks,915864,5054267012158	,RIBENA RASPBERRY 1.19,12 x 500mls,£1.19,£7.99,20.0%,In Stock,Suntory GB Ltd,Ribena Raspberry Juice Drink 500ml £1.19,No
Soft Drinks,915862,5054267012134	,RIBENA MANGO/LIME 1.19,12 x 500mls,£1.19,£7.99,20.0%,In Stock,Suntory GB Ltd,Ribena Mango and Lime Juice Drink No Added Sugar 500ml PMP £1.19,No
Soft Drinks,915863,5054267012127	,RIBENA P/APP P/FRUIT 1.19,12 x 500mls,£1.19,£7.99,20.0%,In Stock,Suntory GB Ltd,Ribena Pineapple & Passionfruit Fruit Juice Drink No Added Sugar 500ml PMP £1.19,No
Soft Drinks,915861,5054267012202	,RIBENA CHERRY/APPLE 1.19,12 x 500mls,£1.19,£7.99,20.0%,In Stock,Suntory GB Ltd,Ribena Cherry Twist 500ml PMP £1.19,No
Soft Drinks,915860,5054267012097	,RIBENA BLACKCURRANT 1.19,12 x 500mls,£1.19,£7.99,20.0%,In Stock,Suntory GB Ltd,Ribena Blackcurrant Juice Drink 500ml PMP £1.19,No
Catering Dry Goods,615479,5000118202612	,KNORR VEGETABLE BOUILLON40LTR,1 x 1kgm,NA,£14.99,0.0%,In Stock,Knorr,Find out more at www.ufs.com/knorrprofessionalExplore  more at ufs.com/knorrprofessional,No
Catering Dry Goods,769330,3076820023458	,CRESPO CAPERS CAPOTES,2 x 2.3kgm,NA,£13.98,0.0%,In Stock,RH Amar Ltd,NA,No
Catering Dry Goods,769331,3076820023458	,CRESPO CAPERS CAPOTES,1 x 2.3kgm,NA,£6.99,0.0%,In Stock,RH Amar Ltd,NA,No
Catering Dry Goods,615429,5000184522737	,* KNORR CHICKEN BOUILLON40LTR,1 x 1kgm,NA,£14.99,0.0%,In Stock,Knorr,Find out more at www.ufs.com/knorrprofessionalExplore  more at ufs.com/knorrprofessional,No
Catering Dry Goods,514868,5000118202612	,KNORR VEGETABLE BOUILLON40LTR,2X1KGM,NA,£29.98,0.0%,In Stock,Knorr,Find out more at www.ufs.com/knorrprofessionalExplore  more at ufs.com/knorrprofessional,No
Catering Dry Goods,514298,5000184522737	,* KNORR CHICKEN BOUILLON40LTR,2X1KGM,NA,£29.98,0.0%,In Stock,Knorr,Find out more at www.ufs.com/knorrprofessionalExplore  more at ufs.com/knorrprofessional,No
Catering Dry Goods,775188,5000225003119	,FRENCHS HAMBURGER RELISH,4 x 2.45kgm,NA,£30.09,0.0%,In Stock,Johnson Brothers,For more info & recipe suggestions visit: www.mccormickflavoursolutions.co.uk,No
Catering Dry Goods,775187,5000225003126	,FRENCHS CRUNCHY CORN RELISH,1 x 2.45kgm,NA,£7.79,0.0%,In Stock,Johnson Brothers,For more info & recipe suggestions visit: www.mccormickflavoursolutions.co.uk,No
Catering Dry Goods,775186,5000225003126	,FRENCHS CRUNCHY CORN RELISH,4 x 2.45kgm,NA,£31.09,0.0%,In Stock,Johnson Brothers,For more info & recipe suggestions visit: www.mccormickflavoursolutions.co.uk,No
Catering Dry Goods,774359,5000225003119	,FRENCHS HAMBURGER RELISH,1 x 2.45kgm,NA,£7.55,0.0%,In Stock,Johnson Brothers,For more info & recipe suggestions visit: www.mccormickflavoursolutions.co.uk,No
Catering Dry Goods,661683,8718114995762	,KNORR MEAT GRAVY,1X25LTR,NA,£10.71,0.0%,In Stock,Knorr,"Here to inspire chefs with new possibilities through diverse ingredients, techniques and dish ideas. Explore more  at ufs.com/knorrprofessionalFind out more at www.ufs.com/knorrprofessional",No
"Confectionery, Crisps & Snacks",440427,7622210296450	,CADBURY BUTTONS 5PK,16X70GRM,£1.00,£11.19,20.0%,In Stock,Cadbury,BeTreatwise.netCocoa LifePartnering with Fairtrade FoundationPartnering to improve the lives of cocoa farmers and  their communitieswww.cocoalife.org,No
"Confectionery, Crisps & Snacks",440425,7622210295767	,CADBURY FREDDO CARAMEL 5PK,30X97GRM,£1.00,£21.49,20.0%,In Stock,Cadbury,"BeTreatwise.netGet to know your treats1 bar = 5 % of the RI* of kcal*% reference intake of an average adult (8400  kJ / 2000 kcal)Cocoa LifePartnering with Fairtrade FoundationTo improve the lives of cocoa farmers & our environmentBy eating Cadbury, you've been encouraging environmental sustainabilityCocoa Life helps farmers get the most from their cocoa trees through environmentally friendly farmingwww.cocoalife.org",No
"Confectionery, Crisps & Snacks",440426,7622210295743	,CADBURY FREDDO 5PK,30X90GRM,£1.00,£21.49,20.0%,In Stock,Cadbury,"BeTreatwise.netGet to know your treats1 bar = 5 % of the RI* of calories* % Reference intake of an average adult (8400 kJ / 2000 kcal)Cocoa LifePartnering with Fairtrade FoundationTo improve the lives of cocoa farmers & our environmentBy eating Cadbury, you've been encouraging environmental sustainabilityCocoa Life helps farmers get the most from their cocoa trees through environmentally friendly farmingwww.cocoalife.org",No
"Confectionery, Crisps & Snacks",415371,7613031505050	,JELLYTOTS 4PK,20X112GRM,£1.00,£13.99,20.0%,In Stock,Rowntrees,"Visit us at www.rowntrees.co.uk, www.facebook.com/rowntrees or www.twitter.com/rowntrees.",No
"Confectionery, Crisps & Snacks",142316,4009900469630	,STARBURST 3PK,36X135GRM,£1.00,£22.99,20.0%,In Stock,Starburst,Starburst Original Fruit Chews Sweets Multipack 3 x 45g,No
"Confectionery, Crisps & Snacks",142188,5034660521525	,TREBOR S/MINTS PEPPERMINT4PK,18X179GRM,£1.00,£12.29,20.0%,In Stock,Trebor,Trebor Softmints Peppermint Mints 4 Pack 179.6g,No
"Confectionery, Crisps & Snacks",142187,5034660521518	,TREBOR S/MINTS SPEARMINT4PK,18X179GRM,£1.00,£12.29,20.0%,In Stock,Trebor,Trebor Softmints Spearmint Mints 4 Pack 179.6g,No
"Confectionery, Crisps & Snacks",142185,5034660521495	,TREBOR E/STRONG MINTS 4PK,12 x 165grm,£1.00,£8.29,20.0%,In Stock,Trebor,Trebor Extra Strong Peppermint Mints 4 Pack 165.2g,No
Soft Drinks,790395,4060800305732	,7UP CANS 6PK,4 x 330mls,£3.39,£7.99,20.0%,In Stock,Britvic Northern Ireland,7UP Lemon & Lime Cans 6 x 330ml,No
"Confectionery, Crisps & Snacks",502271,5033305003815	,FOSTERS BLUE CANDYFLOSS,6 x 30grm,£1.49,£4.99,20.0%,In Stock,Fosters Chocolates,NA,No
Soft Drinks,784469,8717700002457	,7UP FREE CANS 6PK,4 x 330mls,£3.39,£7.99,20.0%,In Stock,7UP,7UP Free Lemon & Lime Cans 6 x 330ml,No
Soft Drinks,536513,4060800105288	,PEPSI MAX 6PK,4 x 330mls,£3.39,£7.99,20.0%,In Stock,Pepsi,Pepsi Max Sugar Free Cola Cans 6 x 330ml,No
Soft Drinks,536507,4060800120700	,PEPSI REG 6PK,4 x 330mls,£4.29,£9.99,20.0%,In Stock,Pepsi,Pepsi Cola Cans 6 x 330ml,No
Soft Drinks,916687,5019490312970	,AQUAROMA APPLE & RASPBERRY,6 x 500mls,£1.09,£3.99,20.0%,In Stock,Montgomery Springs Water Ltd,Aquaroma Still Apple & Raspberry Flavoured Spring Water 4 x 500ml,No
Soft Drinks,767528,5019490312949	,AQUAROMA STRAW/KIWI 4PK STILL,6 x 500mls,£1.09,£3.99,20.0%,In Stock,Montgomery Springs Water Ltd,Aquaroma Still Strawberry & Kiwi Flavoured Spring Water 4 x 500ml,No
Soft Drinks,767527,5019490311331	,AQUAROMA LEMON/LIME 4PK STILL,6 x 500mls,£1.09,£3.99,20.0%,In Stock,Montgomery Springs Water Ltd,Aqua Roma Still Lemon & Lime Flavoured Spring Water 4  x 500ml,No
Catering Dry Goods,661678,8718114995427	,KNORR POULTRY GRAVY,1X25LTR,NA,£10.65,0.0%,In Stock,Knorr,"Find out more at www.ufs.com/knorrprofessionalHere to  inspire chefs with new possibilities through diverse ingredients, techniques and dish ideas.Explore more at ufs.com/knorrprofessional",No
Catering Dry Goods,581388,4002359266201	,DOLMIO BOLOGNESE SAUCE,2 x 2.28kgm,NA,£15.50,0.0%,In Stock,Aimia Foods Ltd,Dolmio Bolognese Pasta Sauce 2.28kg,No
Catering Dry Goods,567309,4002359266201	,DOLMIO BOLOGNESE SAUCE,1 x 2.28kgm,NA,£7.75,0.0%,In Stock,Aimia Foods Ltd,Dolmio Bolognese Pasta Sauce 2.28kg,No
"Confectionery, Crisps & Snacks",106719,5023274049822	,MAYNARDS WINEGUMS 4PK,21X208GRM,£1.00,£13.99,20.0%,In Stock,Maynards,Maynards Bassetts Wine Gums Sweets 4 Rolls 52g,No
Catering Dry Goods,348624,4002359641336	,DOLMIO TOMATO & BASIL SAUCE,2 x 2.27kgm,NA,£15.50,0.0%,In Stock,Aimia Foods Ltd,Dolmio Tomato & Basil Pasta Sauce 2.27kg,No
Catering Dry Goods,348625,4002359641336	,DOLMIO TOMATO & BASIL SAUCE,1 x 2.27kgm,NA,£7.75,0.0%,In Stock,Aimia Foods Ltd,Dolmio Tomato & Basil Pasta Sauce 2.27kg,No
Catering Dry Goods,556499,5060154038217	,FAIRWAY MALT VINEGAR,1 x 5ltr,NA,£2.65,0.0%,In Stock,The Chefs Kitchen Ltd,Fairway Foodservice Malt Vinegar 5 Litres,No
Catering Dry Goods,348607,4002359644764	,DOLMIO ARRABBIATA,2X2.23KGM,NA,£18.15,0.0%,In Stock,Aimia Foods Ltd,Dolmio Arrabbiata Pasta Sauce 2.23kg,No
Catering Dry Goods,348608,4002359644764	,DOLMIO ARRABBIATA,1X2.23KGM,NA,£9.09,0.0%,In Stock,Aimia Foods Ltd,Dolmio Arrabbiata Pasta Sauce 2.23kg,No
Catering Dry Goods,556498,5060154038217	,FAIRWAY MALT VINEGAR,4 x 5ltr,NA,£9.45,0.0%,In Stock,The Chefs Kitchen Ltd,Fairway Foodservice Malt Vinegar 5 Litres,No
Catering Dry Goods,276574,5011546445557	,MAGGI SAUCE BECHAMEL,1 x 2kgm,NA,£13.49,0.0%,In Stock,Nestle UK Ltd,Maggi Béchamel Sauce 2kg,No
Catering Dry Goods,276573,5011546445557	,MAGGI SAUCE BECHAMEL,2 x 2kgm,NA,£26.98,0.0%,In Stock,Nestle UK Ltd,Maggi Béchamel Sauce 2kg,No
Catering Dry Goods,556495,5060154038231	,FAIRWAY DISTILLED MALT VINEGAR,1 x 5ltr,NA,£2.79,0.0%,In Stock,The Chefs Kitchen Ltd,NA,No
"Confectionery, Crisps & Snacks",548188,50833917	,TREBOR E/STRONG PEPPERMINT,40 x 45grm,£0.65,£11.29,20.0%,In Stock,Trebor,Trebor Extra Strong Peppermint Mints Roll 41.3g,No
"Confectionery, Crisps & Snacks",336935,5023274024201	,TREBOR E/STRONG SPEARMINTS,40 x 45grm,£0.65,£11.29,20.0%,In Stock,Trebor,Trebor Extra Strong Spearmint Mints Roll 41.3g,No
"Confectionery, Crisps & Snacks",283224,87108132	,MENTOS MINT ROLL,40 x 38grm,£0.59,£11.49,20.0%,In Stock,Mentos,Snap a shot of you sharing a roll and tag us for a chance to Win great prizes for two!@mentosuk#mentosmeandyouThe  Me&You competition is open to persons ages 18+. For full T&Cs visit mentosmeandyou.co.ukFind us on Facebook or Instagram @MentosUK,No
"Confectionery, Crisps & Snacks",283223,87108262	,MENTOS MIXED FRUIT ROLL,40 x 38grm,£0.59,£11.49,20.0%,In Stock,Mentos,Me&You Snap Here WinSnap a shot of you sharing this roll and tag us for a chance Win great prizes for two!The Me&You competition is open to persons aged 18+.For full T&Cs visit mentosmeandyou.co.uk,No
"Confectionery, Crisps & Snacks",916699,8445290103659	,FRUIT PASTILLES STRAW/BLACKCURRANT,32 x 50grm,£0.59,£10.29,20.0%,In Stock,Nestle UK Ltd,"Visit us at www.rowntrees.co.uk, www.facebook.com/rowntrees or www.twitter.com/rowntrees.",No
"Confectionery, Crisps & Snacks",784923,7613287411143	,FRUIT PASTILLES 50P,32 x 50grm,£0.50,£9.69,20.0%,In Stock,Nestle UK Ltd,"Visit us at www.rowntrees.co.uk, www.facebook.com/rowntrees or www.twitter.com/rowntrees.",No
"Confectionery, Crisps & Snacks",765671,7613038471792	,ROWNTREE FRUIT GUMS SACHET,24X43.5GRM,£0.59,£7.29,20.0%,In Stock,Nestle UK Ltd,"Visit us at www.rowntrees.co.uk, www.facebook.com/rowntrees or www.twitter.com/rowntrees.",No
"Confectionery, Crisps & Snacks",665349,5010478245679	,SQUASHIES BUBBLEGUM 50P,24 x 45grm,£0.50,£4.99,20.0%,In Stock,Swizzels Matlow,Swizzels Drumstick Squashies Bubblegum Flavour,No
"Confectionery, Crisps & Snacks",665348,5010478235380	,SQUASHIES DRUMSTICK 50P,24 x 45grm,£0.50,£4.99,20.0%,In Stock,Swizzels Matlow,Swizzels Drumstick Squashies Original Raspberry &,No
Soft Drinks,593894,146352	,CLUB SLIM TONIC NRB,24X125MLS,NA,£7.49,20.0%,In Stock,Britvic Northern Ireland,Club Mixers Slimline Tonic 125ml,No
Soft Drinks,588169,146349	,CLUB SODA NRB,24X125MLS,NA,£7.49,20.0%,In Stock,Britvic Northern Ireland,Club Soda Water Non-Returnable Glass Bottle 125ml,No
Catering Dry Goods,776367,5099839361241	,MUSGRAVE SMARTBUY KETCHUP,1 x 4.5kgm,NA,£4.95,0.0%,In Stock,Musgrave Foodservice Ltd,Musgrave Smartbuy Ketchup 4.5kg,No
Catering Dry Goods,776365,5099839361241	,MUSGRAVE SMARTBUY KETCHUP,2 x 4.5kgm,NA,£9.35,0.0%,In Stock,Musgrave Foodservice Ltd,Musgrave Smartbuy Ketchup 4.5kg,No
Soft Drinks,587819,146353	,CLUB WHITE LEMONADE NON-RGB,24X125MLS,NA,£7.49,20.0%,In Stock,Britvic Northern Ireland,Club White Lemonade Non-Returnable Glass Bottle 125ml,No
Soft Drinks,557436,50413911	,BRITVIC ORANGE,24 x 200mls,NA,£13.95,20.0%,In Stock,Britvic Northern Ireland,Britvic Orange Juice from Concentrate 200ml,No
Soft Drinks,555491,50413898	,BRITVIC CRANBERRY,24 x 200mls,NA,£16.05,20.0%,In Stock,Britvic Northern Ireland,Britvic Cranberry Juice Drink 200ml,No
Soft Drinks,916097,5011020104529	,RIVER ROCK PINK G/FRT GRN/COFFEE,15X450MLS,£1.39,£9.99,20.0%,In Stock,Coca Cola HBC Northern Ireland,"Consume as part of a varied, balanced diet and health  lifestyle.",No
Catering Dry Goods,549318,5000157024374	,HEINZ TOMATO KETCHUP,2X2.15LTR,NA,£15.98,0.0%,In Stock,Heinz,Heinz Tomato Ketchup 2.15L,No
Catering Dry Goods,571159,5000157024374	,HEINZ TOMATO KETCHUP,1 x 2.15ltr,NA,£7.99,0.0%,In Stock,Heinz,Heinz Tomato Ketchup 2.15L,No
Catering Dry Goods,768820,5010285104381	,LION TARTARE SAUCE,1 x 2.2ltr,NA,£7.19,0.0%,In Stock,AAK International Ltd,Lion Tartare Sauce 2.27 Litres,No
Catering Dry Goods,768819,5010285104381	,LION TARTARE SAUCE,2 x 2.2ltr,NA,£12.45,0.0%,In Stock,AAK International Ltd,Lion Tartare Sauce 2.27 Litres,No
Catering Dry Goods,490280,5010421074349	,SCHWARTZ FOR CHEF REDCURRANT JELLY,1X1.15KGM,NA,£5.15,0.0%,In Stock,Schwartz,For information on this product and recipe suggestions:Visit: www.mccormickflavoursolutions.co.ukCall freephone (UK): 08081 000363,No
Catering Dry Goods,764248,5026451692217	,WD KEBAB SAUCE,1X900MLS,NA,£4.99,0.0%,In Stock,W.D. Foods,NA,No
Catering Dry Goods,480713,5010421074141	,SCHWARTZ FOR CHEF CRANBERRY SAUCE,1 x 2.6kgm,NA,£8.69,0.0%,In Stock,Schwartz,For information on this product and recipe suggestions: Visit: www.mccormickflavoursolutions.co.uk,No
"Confectionery, Crisps & Snacks",660584,5000237126943	,BUTTERKIST TOFFEE 1.00,12X78GRM,£1.00,£7.29,20.0%,In Stock,KP Snacks Ltd,"The Hundred, Official Team PartnerDiscover Cricket, Get Active thehundred.com",No
Catering Dry Goods,490279,5010421074349	,SCHWARTZ FOR CHEF REDCURRANT JELLY,6X1.15KGM,NA,£30.79,0.0%,In Stock,Schwartz,For information on this product and recipe suggestions:Visit: www.mccormickflavoursolutions.co.ukCall freephone (UK): 08081 000363,No
"Confectionery, Crisps & Snacks",658724,5000237126929	,BUTTERKIST SWEET&SALT 1.00,12 x 70grm,£1.00,£7.29,20.0%,In Stock,KP Snacks Ltd,"The HundredOfficial Team PartnerDiscover Cricket, Get  Activethehundred.com",No
Catering Dry Goods,480712,5010421074141	,SCHWARTZ FOR CHEF CRANBERRY SAUCE,4 x 2.6kgm,NA,£34.75,0.0%,In Stock,Schwartz,For information on this product and recipe suggestions: Visit: www.mccormickflavoursolutions.co.uk,No
"Confectionery, Crisps & Snacks",658721,5000237126912	,BUTTERKIST SWEET 1.00,12 x 70grm,£1.00,£7.29,20.0%,In Stock,KP Snacks Ltd,"The Hundred Official Team PartnerDiscover Cricket, Get Activethehundred.com",No
"Confectionery, Crisps & Snacks",658718,5000237126936	,BUTTERKIST SALTED 1.00,12 x 50grm,£1.00,£7.29,20.0%,In Stock,KP Snacks Ltd,"The Hundred Official Team PartnerDiscover Cricket, Get Activethehundred.com",No
"Confectionery, Crisps & Snacks",502170,5033305002467	,FOSTERS POPCORN,6 x 40grm,£1.49,£4.99,20.0%,In Stock,Fosters Chocolates,NA,No
"Confectionery, Crisps & Snacks",657861,50251414	,FRUIT PASTILLES VEGAN,32 x 50grm,£0.59,£10.29,20.0%,In Stock,Rowntree's,"Visit us at www.rowntrees.co.uk, www.facebook.com/rowntrees or www.twitter.com/rowntrees.",No
