Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Frozen Goods,768456,148247	,M/E PLAIN PANINI,72X125GRM,NA,£12.49,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
"Confectionery, Crisps & Snacks",627140,50201013	,CADBURY FLAKE BAR,48 x 34grm,£0.79,£21.69,20.0%,In Stock,Cadbury,BeTreatwise.netGet to know your treats1 bar = 8 % of the RI* of kcal*% reference intake of an average adult (8400  kJ / 2000 kcal)Cocoa LifePartnering with Fairtrade Foundationwww.cocoalife.org,No
"Confectionery, Crisps & Snacks",322660,7622300743703	,CADBURY DAIRY MILK CARAMEL BAR,48 x 45grm,£0.79,£21.49,20.0%,In Stock,Cadbury,BeTreatwise.netCocoa LifePartnering with Fairtrade Foundationwww.cocoalife.org,No
Soft Drinks,547726,5054267006102	,RIBENA BLACKCURRANT,24 x 250mls,£0.69,£8.39,20.0%,In Stock,Suntory GB Ltd,Ribena Blackcurrant Juice Drink Carton 250ml,No
Soft Drinks,775881,5054267010673	,RIBENA STRAWBERRY 59P CAN,24 x 250mls,£0.59,£7.29,20.0%,In Stock,Suntory GB Ltd,Ribena Strawberry 250ml 59p PMP,No
Soft Drinks,637119,5011026701180	,MI WADI D/C NAS BLACKCURRANT,12 x 1ltr,£1.49,£10.99,20.0%,In Stock,Mi Wadi,Enjoy as part of a varied and balanced diet and a healthy lifestyle.,No
"Confectionery, Crisps & Snacks",684303,5010478214545	,DRUMSTICKS CHOOS 1.00,12 x 135grm,£1.00,£6.59,20.0%,In Stock,Swizzels Matlow,Facebook is not available to under 13sFacebook SwizzelsTwitter @SwizzelsMatlow,No
Soft Drinks,775880,5054267010666	,RIBENA BLACKCURRANT 59P CAN,24 x 250mls,£0.59,£7.29,20.0%,In Stock,Suntory GB Ltd,Ribena Blackcurrant 250ml 59p PMP,No
Soft Drinks,416581,50412723	,FRUIT SHOOTS SUMMER FRUITS,24 x 275mls,£0.79,£9.99,20.0%,In Stock,Robinsons,Fruit Shoot Summer Fruits Kids Juice Drink 24 x 275ml,No
Soft Drinks,739710,5000347025365	,RIBENA STRAWBERRY,12 x 500mls,£1.39,£8.99,20.0%,In Stock,Ribena,Ribena Strawberry Juice Drink No Added Sugar 500ml,No
Soft Drinks,124924,50412716	,FRUIT SHOOTS BLK&APPLE LS,24 x 275mls,£0.79,£9.99,20.0%,In Stock,Robinsons,Robinsons Fruit Shoot Apple & Blackcurrant 24 x 275ml,No
"Confectionery, Crisps & Snacks",763932,3664346315296	,TERRYS C/ORANGE BAR 1.00,19X90GRM,£1.00,£13.59,20.0%,In Stock,SHS Distributors,Terry's Chocolate Orange,No
Soft Drinks,791701,5054267011427	,RIBENA CHERRY&APPLE 1.09,12 x 500mls,£1.09,£7.29,20.0%,In Stock,Suntory GB Ltd,Ribena Cherry Twist PMP 500ml,No
Soft Drinks,309388,5000347017568	,RIBENA BLACKCURRANT,12 x 500mls,£1.39,£8.99,20.0%,In Stock,Ribena,Ribena Blackcurrant Juice Drink 500ml,No
"Confectionery, Crisps & Snacks",754948,3800020412084	,KIT KAT CHUNKY 1.00 4PK,24X128GRM,£1.00,£16.99,20.0%,In Stock,Nestle UK Ltd,"Visit www.kitkat.co.ukGood to remember, enjoying chocolate as part of a varied, balanced diet and a healthy lifestyle, is one of life's little pleasures",No
"Confectionery, Crisps & Snacks",573890,5010511477173	,JAMESONS RASPBERRY RUFFLES,12 x 135grm,£1.19,£8.29,20.0%,In Stock,Rob Roberts NI Ltd,Ruffles Raspberry & Coconut 135g,No
"Confectionery, Crisps & Snacks",115660,7613033673702	,MILKYBAR GIANT BUTTONS 1.00,12 x 85grm,£1.00,£6.99,20.0%,In Stock,Milkybar,Visit us at www.,No
Soft Drinks,536513,4060800105288	,PEPSI MAX 6PK,4 x 330mls,£2.99,£6.99,20.0%,In Stock,Pepsi,Pepsi Max No Sugar Cola Cans 6 x 330ml,No
Soft Drinks,536507,4060800120700	,PEPSI REG 6PK,4 x 330mls,£3.79,£8.99,20.0%,In Stock,Pepsi,Pepsi Cola Cans 6 x 330ml,No
Soft Drinks,754666,5054267008144	,RIBENA VERY BERRY 1.09,12 x 500mls,£1.09,£7.29,20.0%,In Stock,Suntory GB Ltd,Ribena Very Berry 500ml £1.09 or 2 for £2 PMP,No
Soft Drinks,754665,5054267007901	,RIBENA STRAWBERRY 1.09 LIGHT,12 x 500mls,£1.09,£7.29,20.0%,In Stock,Suntory GB Ltd,Ribena Strawberry 500ml £1.09 or 2 for £2 PMP,No
Soft Drinks,784469,8717700002457	,7UP FREE CANS 6PK,4 x 330mls,£2.99,£6.99,20.0%,In Stock,7UP,7UP Free 6 x 330ml,No
Soft Drinks,790395,4060800305732	,7UP CANS 6PK,4 x 330mls,£2.99,£6.99,20.0%,In Stock,Britvic Northern Ireland,7UP Lemon & Lime Cans 6 x 330ml,No
Soft Drinks,753271,5449000031341	,COKE ZERO CAN 8PK,3X330MLS,£4.99,£8.69,20.0%,In Stock,Coca-Cola,"A low-calorie sparkling soft drink with zero sugar and the great taste of Coca-Cola.Coca-Cola Zero Sugar is a sugar free, low-calorie soft drink with the great taste of original Coca-Cola.Coca-Cola Zero Sugar is the perfect drink for  when you want all the taste of Coca?Cola, without the sugar  or calories.",No
Soft Drinks,684971,5026791562454	,RIVER ROCK LEMON & LIME,15 x 500mls,£0.89,£6.99,20.0%,In Stock,Deep RiverRock,Deep RiverRock Sugar Free Lemon & Lime Sparkling Water Drink 500ml,No
Soft Drinks,555109,5099618915924	,TIPPERARY 10PK FRUIT BLAST WATER,3X250MLS,£2.00,£3.99,20.0%,In Stock,TENNENTS NI LTD,A portion of the proceeds from this pack goes to the Irish Society for the Prevention of Cruelty to ChildrenISPCC  Childline 1800 66 66 66childline.ie,No
Soft Drinks,684970,5026791562584	,RIVER ROCK FOREST FRUITS,15 x 500mls,£0.89,£6.99,20.0%,In Stock,Deep RiverRock,Deep RiverRock Sugar Free Forest Fruits Sparkling Water Drink 500ml,No
Soft Drinks,493137,5449000004451	,DIET COKE CAN 8 PACK,3X330MLS,£4.99,£8.69,20.0%,In Stock,Coca-Cola,"A low calorie sparkling soft drink with no sugar and no caloriesThe great refreshing taste of Diet Coke with no sugar and no calories.Add some sparkle to your day without the sugar or calories, with a crisp, refreshing Diet Coke!",No
"Confectionery, Crisps & Snacks",768800,5010511479276	,JAMESONS CHOC CARAMELS,12X110GRM,£1.39,£10.69,20.0%,In Stock,Rob Roberts NI Ltd,Jameson's Caramels 110g,No
Soft Drinks,754661,5054267007895	,RIBENA BLACKCURRANT 1.09,12 x 500mls,£1.09,£7.29,20.0%,In Stock,Suntory GB Ltd,Ribena Blackcurrant 500ml £1.09 or 2 for £2 PMP,No
Soft Drinks,662531,3057640319648	,VOLVIC TOF S/F STRAWBERRY,12 x 500mls,£0.69,£4.49,20.0%,In Stock,Volvic,"We are carbon neutral, with touch of fruit, you are helping Volvic to support sustainable agriculture projects in  several countries****For more information visit www.volvic.co.ukCarbon Trust - Carbon Neutral",No
Soft Drinks,284001,3057640136993	,VOLVIC NATURAL STILL WATER SPORTS,12 x 1ltr,£0.89,£5.99,20.0%,In Stock,Volvic,"Carbon Trust - Certified Carbon NeutralFrom a protected source**Bottled with 100% renewable energyVolvic helps protect billions of m2 of natural ecosystem*****Together with CEPIV ***in Volcanic CountriesTo the peopleEach litre of volvic you drink helps provide access to one litre of safe drinking water to people in need**in Cambodia, India, Haiti, Mexico, Bangladesh, Nigeria, Rwanda, Uganda, Kenya, Senegal.More info: volvic.co.uk",No
Soft Drinks,547528,4199005001	,BALLYGOWAN STILL,24 x 500mls,£0.69,£6.99,20.0%,In Stock,Britvic Northern Ireland,Ballygowan Still Natural Mineral Water 500ml,No
Soft Drinks,275003,5099483007588	,BALLYGOWAN STILL WATER SPORTS BTL,12 x 1ltr,£1.00,£6.99,20.0%,In Stock,Ballygowan,Did you know?Sustainability is important to us at Ballygowan.,No
Soft Drinks,317804,3057640100673	,VOLVIC NATURAL MINERAL STILL WATER,24 x 500mls,£0.49,£5.49,20.0%,In Stock,Volvic,"Carbon Trust - Certified Carbon NeutralOur CommitmentsTo the PeopleEach litre of Volvic you drink helps provide access to one litre of safe drinking water to people in need**In Cambodia, India, Haiti, Mexico, Bangladesh, Nigeria, Rwanda, Uganda, Kenya, SenegalCertified Carbon NeutralFrom a protected source**Bottled with 100% renewable energyVolvic helps protect billions of m2 of natural ecosystem*****Together with CEPIV ***In volcanic countriesMore info: volvic.co.uk",No
Soft Drinks,115080,5026791543507	,RIVER ROCK 15/12 SPORT,15 x 750mls,£0.89,£5.99,20.0%,In Stock,Deep RiverRock,Deep RiverRock Hydrate Still Water 750ml,No
Soft Drinks,195520,5026791543002	,RIVER ROCK STILL WATER,24 x 500mls,£0.69,£5.99,20.0%,In Stock,Deep RiverRock,Deep RiverRock Refresh Still Water 500ml,No
Soft Drinks,103559,3068320055008	,EVIAN WATER,24 x 500mls,£0.69,£6.49,20.0%,In Stock,Evian,Carbon Trust Carbon NeutralThe Championships WimbledonLearn more on evian.com,No
Soft Drinks,115518,5099483050003	,BALLYGOWAN SPARKLING,24 x 500mls,£0.69,£6.99,20.0%,In Stock,Ballygowan,Did You Know?Sustainability is important to us at Ballygowan.,No
"Confectionery, Crisps & Snacks",122184,5000159393652	,TUNES CHERRY,24 x 37grm,£0.55,£6.69,20.0%,In Stock,Tunes,Tunes Cherry Menthol Sugar Free Cough Sweets Handy Box 37g,No
Soft Drinks,764343,5099618118820	,TIPPERARY BLACKBERRY,12 x 500mls,£0.79,£4.99,20.0%,In Stock,Tipperary,Tipperary Blackberry Sparkling Flavoured Water 500ml,No
Soft Drinks,764342,5099618118844	,TIPPERARY LEMON&LIME,12 x 500mls,£0.79,£4.99,20.0%,In Stock,TENNENTS NI LTD,Tipperary Lemon & Lime Sparkling Flavoured Water 500ml,No
Soft Drinks,775571,5029396738569	,FENTIMANS CURIOSITY COLA,6 x 750mls,£3.19,£11.99,20.0%,In Stock,TENNENTS NI LTD,For more information visit www.fentimans.com.,No
Soft Drinks,775570,5029396738767	,FENTIMANS ROSE LEMONADE,6 x 750mls,£3.19,£11.99,20.0%,In Stock,TENNENTS NI LTD,For more information visit www.fentimans.com,No
Soft Drinks,407887,5449000109613	,SPRITE NO SUGAR,24 x 500mls,£1.39,£13.99,20.0%,In Stock,Sprite,Discover more: sweetcomeswithsour.sprite.com,No
Soft Drinks,195540,54492493	,FANTA LEMON CONTOUR,24 x 500mls,£1.39,£13.99,20.0%,In Stock,Fanta,Fanta Lemon 500ml,No
Soft Drinks,516923,5449000106704	,SPRITE NO SUGAR CAN,24 x 330mls,£0.79,£7.69,20.0%,In Stock,Coca Cola HBC Northern Ireland,Discover More: sweetcomeswithsour.sprite.com,No
Soft Drinks,508020,5019547001116	,SPARKLING ICE ORANGE & MANGO,12 x 500mls,£1.29,£6.99,20.0%,In Stock,Richmond Marketing NI Ltd,Sparkling Ice Orange Mango Flavoured Sparkling Water 500ml,No
Soft Drinks,303438,40608143	,PEPSI DIET CANS,24 x 330mls,£0.69,£6.99,20.0%,In Stock,Pepsi,Diet Pepsi Cola Can 330ml,No
Soft Drinks,303248,40608006	,PEPSI COLA CANS,24 x 330mls,£0.89,£8.99,20.0%,In Stock,Pepsi,Pepsi Cola Can 24 x 330ml,No
Soft Drinks,102521,90494581	,DR PEPPER,24 x 500mls,£1.29,£13.99,20.0%,In Stock,Dr Pepper,Dr Pepper 500ml,No
Soft Drinks,303488,87171211	,PEPSI MAX CANS,24 x 330mls,£0.69,£6.99,20.0%,In Stock,Britvic Northern Ireland,Pepsi Max Sugar Free Cola Can 24 x 330ml,No
"Health, Beauty & Baby",735919,5000231037559	,RADOX BATH MUSCLE SOAK,6 x 500mls,£1.29,£4.29,20.0%,In Stock,Unilever Ireland Personal Care,Radox Muscle Soak Bath Soak 500 ml,No
"Health, Beauty & Baby",546818,5000231050855	,RADOX BATH STRESS RELIEF,6 x 500mls,£1.29,£4.29,20.0%,In Stock,Radox,Radox Stress Relief Bath Soak 500 ml,No
"Health, Beauty & Baby",546808,5000231080371	,RADOX BATH RELAX,6 x 500mls,£1.29,£4.29,20.0%,In Stock,Radox,Radox Feel Relaxed Bath Soak 500 ml,No
"Household, Cleaning & Pet Care",754144,8001841066820	,FAIRY NON BIO CAPSULES,3X15PK,£4.39,£6.99,20.0%,In Stock,Interactive Irl Ltd,Fairy Non Bio Pods Washing Liquid Capsules 15 Washes,No
"Health, Beauty & Baby",130080,5000228016420	,VASELINE ACTIVE FRESH,6 x 150mls,£1.29,£4.39,20.0%,In Stock,Unilever Ireland Personal Care,Vaseline  Active Fresh Anti-perspirant Deodorant Aerosol 150ml,No
"Confectionery, Crisps & Snacks",497606,5000328452579	,WALKERS PRAWN COCKTAIL CRISPS,32X32.GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Household, Cleaning & Pet Care",746219,4015600949310	,ARIEL BIO POWDER,6X1.4KGM,£5.99,£21.99,20.0%,In Stock,Interactive Irl Ltd,Ariel Powder Original 1.43KG 22 Washes,No
"Confectionery, Crisps & Snacks",497600,5000328347790	,WALKERS READY SALTED CRISPS,32X32.GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",497605,5000328461755	,WALKERS SALT & VINEGAR CRISPS,32X32.GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Household, Cleaning & Pet Care",775668,8720181106088	,SURF LAVENDAR POWDER,4X1.1KGM,£3.99,£9.19,20.0%,In Stock,Unilever Ireland Homecare,Surf Lavender & Spring Jasmine Laundry Powder 1.15 kg,No
"Household, Cleaning & Pet Care",775665,8720181104268	,SURF TROPICAL POWDER,4X1.1KGM,£3.99,£9.19,20.0%,In Stock,Unilever Ireland Homecare,Surf Tropical Lily & Ylang-Ylang Laundry Powder 1.15 kg,No
"Household, Cleaning & Pet Care",775667,8720181106217	,SURF COCONUT POWDER,4X1.1KGM,£3.99,£9.19,20.0%,In Stock,Unilever Ireland Homecare,Surf Coconut Bliss Laundry Powder 1.15 kg,No
"Household, Cleaning & Pet Care",775532,8720181106194	,PERSIL NON BIO 2.99,7X500GRM,£2.99,£14.29,20.0%,In Stock,Unilever Ireland Homecare,NA,No
"Household, Cleaning & Pet Care",763910,8001841565354	,BOLD 3IN1 SPRING PODS,3X15PK,£4.19,£6.99,20.0%,In Stock,Interactive Irl Ltd,Bold All-in-1 Pods Washing Liquid Capsules Spring Awakening 15 Washes,No
"Household, Cleaning & Pet Care",753020,8001841066943	,BOLD 3IN1 LAV&CAM CAPSULES,3X15PK,£4.19,£6.99,20.0%,In Stock,Interactive Irl Ltd,Bold All-in-1 Pods Washing Liquid Capsules Lavender &  Camomile 15 Washes,No
"Household, Cleaning & Pet Care",500880,7322540237030	,VELVET COMFORT,1 x 16pk,£6.99,£3.99,20.0%,In Stock,SCA Hygiene Ltd,Velvet Comfort 16 Toilet Rolls,No
"Household, Cleaning & Pet Care",550100,7322540092950	,VELVET WHITE,5X9PK,£4.89,£12.59,20.0%,In Stock,Velvet,Velvet Comfort 9 Toilet Rolls,No
"Household, Cleaning & Pet Care",746213,4015600888572	,ARIEL COLOUR POWDER,6X1.4KGM,£5.99,£21.99,20.0%,In Stock,Interactive Irl Ltd,Ariel Powder Colour 1.43KG 22 Washes,No
"Household, Cleaning & Pet Care",758087,5029053571072	,ANDREX WHITE 2.50,6X4PK,£2.50,£8.99,20.0%,In Stock,Kimberley Clark Ltd,Find your feeling of clean at www.andrex.co.uk,No
"Household, Cleaning & Pet Care",790384,7322540432664	,CUSHELLE 4PK,10 x 4pk,£1.69,£10.99,20.0%,In Stock,Cushelle,Cushelle White 4 Toilet Rolls,No
"Household, Cleaning & Pet Care",765029,7322541166131	,VELVET QUILTS,1 x 24pk,£7.95,£5.29,20.0%,In Stock,SCA Hygiene Ltd,Velvet Classic Quilted 24 Toilet Rolls,No
"Household, Cleaning & Pet Care",790380,7322540432725	,CUSHELLE 9PK,5X9PK,£3.69,£12.19,20.0%,In Stock,Cushelle,Cushelle White 9 Toilet Rolls,No
"Household, Cleaning & Pet Care",758081,5029053571171	,ANDREX QUILTS 2.50,6X4PK,£2.50,£8.99,20.0%,In Stock,Kimberley Clark Ltd,"Andrex Supreme Quilts, Quilted Toilet Roll, 4 Rolls",No
"Household, Cleaning & Pet Care",756895,8710847900716	,PERSIL CAPS COLOUR 15 WASH,3X367GRM,£4.79,£8.79,20.0%,In Stock,Unilever Ireland Homecare,Persil Colour Protect Laundry Washing Capsules 15 Wash,No
"Household, Cleaning & Pet Care",756896,8710847900730	,PERSIL CAPS NON BIO 15 WASH,3X367GRM,£4.79,£8.79,20.0%,In Stock,Unilever Ireland Homecare,Persil Non Bio Laundry Washing Capsules 15 Wash,No
"Household, Cleaning & Pet Care",756894,8710847900723	,PERSIL CAPS BIO 15 WASH,3X367GRM,£4.79,£8.79,20.0%,In Stock,Unilever Ireland Homecare,Persil Bio Laundry Washing Capsules 15 Wash,No
"Household, Cleaning & Pet Care",173460,7322540611717	,PLENTY THE EXTRA BIG ONE,8X1PK,£2.49,£9.99,20.0%,In Stock,Plenty,Plenty MAX The Extra Big One 1 roll,No
"Household, Cleaning & Pet Care",639579,7322540910728	,PLENTY KITCHEN TOWEL THEORIGINAL,4 x 2pk,£2.99,£7.69,20.0%,In Stock,SCA Hygiene Ltd,Plenty White Kitchen Roll 200 Sheets,No
"Household, Cleaning & Pet Care",758079,5029053571485	,ANDREX GENTLE CLEAN,6X4PK,£2.50,£8.99,20.0%,In Stock,Kimberley Clark Ltd,www.andrex.co.uk,No
"Household, Cleaning & Pet Care",755690,7322540944884	,VELVET COMFORT TOILET ROLL,10 x 4pk,£1.99,£10.99,20.0%,In Stock,SCA Hygiene Ltd,Velvet Comfort 4 Toilet Rolls,No
"Household, Cleaning & Pet Care",211225,5029053010458	,ANDREX WHITE 9PK,5X9PK,£4.99,£14.79,20.0%,In Stock,Andrex,NA,No
Soft Drinks,791624,40608136	,7UP CANS,24 x 330mls,£0.69,£6.99,20.0%,In Stock,Britvic Northern Ireland,7UP Regular Lemon & Lime Can 24 x 330ml,No
Soft Drinks,764431,5054267009349	,LUCOZADE SPORT ORANGE 1.19,12 x 500mls,£1.19,£7.69,20.0%,In Stock,Suntory GB Ltd,Lucozade Sport provides carbohydrates and electrolytes to:Enhance hydration during exerciseHelp maintain your performance during endurance exerciseDeliver great tasting refreshment when you need it most,No
Soft Drinks,558849,5000347027048	,LUCOZADE SPORT RASPBERRY,12 x 500mls,£1.69,£10.99,20.0%,In Stock,Lucozade,Lucozade Sport Raspberry 500ml,No
Soft Drinks,647994,5000347008436	,LUCOZADE SPORT ORANGE,12 x 500mls,£1.69,£10.99,20.0%,In Stock,Suntory GB Ltd,Lucozade Sport Orange 500ml,No
Soft Drinks,764432,5054267009356	,LUCOZADE SPORT R/BRY 1.19,12 x 500mls,£1.19,£7.69,20.0%,In Stock,Suntory GB Ltd,Lucozade Sport Raspberry PMP 500ml £1.19 or 2 for £2.20,No
Soft Drinks,764427,5054267009394	,LUCOZADE SPORT AJ 1.19,12 x 500mls,£1.19,£7.69,20.0%,In Stock,Suntory GB Ltd,Lucozade Sport Fruit Punch 500ml £1.19 or 2 for £2.20,No
Soft Drinks,775451,4060800304698	,PEPSI MAX CAN 89P,24X440MLS,£0.89,£13.29,20.0%,In Stock,Britvic Northern Ireland,Pepsi Max 440ml,No
Soft Drinks,241793,9002490100490	,RED BULL ENERGY DRINK CAN 4 PACK,6 x 250mls,£4.99,£18.99,20.0%,In Stock,Richmond Marketing NI Ltd,"Red Bull Energy Drink, 250ml (4 Pack)",No
Soft Drinks,317714,9002490200381	,RED BULL SUGAR FREE CAN 4PK,6 x 250mls,£4.59,£17.99,20.0%,In Stock,Richmond Marketing NI Ltd,"Red Bull Energy Drink, Sugar Free, 250ml (4 Pack)",No
Soft Drinks,787653,5054267011175	,LUCOZADE ORANGE 2.00 ENERGY,8X1.45LTR,£2.00,£9.99,20.0%,In Stock,Suntory GB Ltd,Lucozade Energy Orange 1.45L PMP £2.00,No
"Health, Beauty & Baby",510788,4015400363064	,TAMPAX BLUE BOX SUPER PLUS,8X20PK,£2.29,£12.99,0.0%,In Stock,Tampax,Tampax Super Plus Tampons With Cardboard Applicator X  20,No
"Health, Beauty & Baby",510794,4015400363033	,TAMPAX BLUE BOX REG,8X20PK,£2.29,£12.99,0.0%,In Stock,Tampax,Tampax Regular Tampons With Cardboard Applicator X 20,No
"Health, Beauty & Baby",510804,4015400363002	,TAMPAX BLUE BOX SUPER,8X20PK,£2.29,£12.99,0.0%,In Stock,Tampax,Tampax Super Tampons With Cardboard Applicator X 20,No
"Health, Beauty & Baby",405498,8711700943451	,RADOX SHOWER FEEL ENERGISED,6 x 250mls,£1.29,£4.29,20.0%,In Stock,Radox,Radox Feel Energised Shower Gel 250 ml,No
Soft Drinks,787648,5054267011182	,LUCOZADE ORIGINAL 2.00 ENERGY,8X1.4LTR,£2.00,£9.99,20.0%,In Stock,Suntory GB Ltd,Lucozade Energy Original 1.45L PMP £2.00,No
"Confectionery, Crisps & Snacks",497596,5000328902616	,WALKERS PICKLED ONION CRISPS,32X32.GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",716078,5000237065242	,KP MINI CHIPS BBQ,48 x 33grm,£0.69,£16.99,20.0%,In Stock,KP,"Snacks can be enjoyed as part of a balanced diet and healthy lifestyle, including regular exercise.",No
"Confectionery, Crisps & Snacks",716038,50237760	,KP MINI CHIPS S&V,48 x 33grm,£0.69,£16.99,20.0%,In Stock,KP Snacks Ltd,"Snacks can be enjoyed as part of a balanced diet and healthy lifestyle, including regular exercise.",No
"Confectionery, Crisps & Snacks",497599,5000328338507	,WALKERS SMOKEY BACON CRISPS,32X32.GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, scan this code or visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",768246,5000237134238	,POPCHIPS S/CRM&ONION 1.00,16X50GRM,£1.00,£7.99,20.0%,In Stock,KP Snacks Ltd,Hungry for more? Pop over to: popchips.co.uk,No
"Confectionery, Crisps & Snacks",621551,5391532120096	,FULFIL HAZELNUT WHIP BAR,15X55GRM,£2.29,£19.29,20.0%,In Stock,Richmond Marketing NI Ltd,Fulfil Chocolate Hazelnut Whip Vitamin & Protein Bar 55g,No
"Confectionery, Crisps & Snacks",497588,5000328698823	,WALKERS CHEESE & ONION,32X32.GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",621541,5391532120065	,FULFIL CHOCOLATE & ORANGE BAR,15X55GRM,£2.29,£19.29,20.0%,In Stock,Richmond Marketing NI Ltd,Fulfil Chocolate Orange Vitamin & Protein Bar 55g,No
"Household, Cleaning & Pet Care",688248,8710447398197	,COMFORT PURE 36 WASH,6X1.2LTR,£2.39,£8.79,20.0%,In Stock,Unilever Ireland Homecare,Comfort Pure Fabric Conditioner 36 Wash 1.26 l,No
"Confectionery, Crisps & Snacks",541571,5390691017995	,FULFIL WHITE CHOC&COOKIEDOUGH BAR,15X55GRM,£2.29,£19.29,20.0%,In Stock,Richmond Marketing NI Ltd,Fulfil White Chocolate & Cookie Dough Vitamin & Protein Bar 55g,No
"Household, Cleaning & Pet Care",688246,8710447398180	,COMFORT LAVENDAR 36 WASH,6X1.2LTR,£2.39,£8.79,20.0%,In Stock,Unilever Ireland Homecare,Comfort Lavender Bloom Fabric Conditioner 36 Wash 1.26 l,No
"Household, Cleaning & Pet Care",485564,4084500245020	,LENOR SUMMER BREEZE,8X1.1LTR,£2.79,£12.99,20.0%,In Stock,Interactive Irl Ltd,"Lenor Fabric Conditioner Summer Breeze 1.19L, 34 Washes",No
"Confectionery, Crisps & Snacks",541557,5390691018022	,FULFIL CHOC&MINT PROTEINBAR,15X55GRM,£2.29,£19.29,20.0%,In Stock,Richmond Marketing NI Ltd,Fulfil,No
"Confectionery, Crisps & Snacks",496379,5390691017919	,FULFIL PEANUT & CARAMEL BAR,15X60GRM,£2.29,£19.29,20.0%,In Stock,Richmond Marketing NI Ltd,Fulfil,No
"Confectionery, Crisps & Snacks",541556,5390691017964	,FULFIL CARAMEL & COOKIE DOUGH BAR,15X55GRM,£2.29,£19.29,20.0%,In Stock,Richmond Marketing NI Ltd,Fulfil Chocolate Caramel & Cookie Dough Vitamin & Protein Bar 55g,No
"Household, Cleaning & Pet Care",688245,8710447398173	,COMFORT BLUE 36 WASH,6X1.2LTR,£2.39,£8.79,20.0%,In Stock,Unilever Ireland Homecare,Comfort Blue Skies Fabric Conditioner 36 Wash 1.26 l,No
"Household, Cleaning & Pet Care",409072,8711600340039	,COMFORT PURE 1.99,8 x 750mls,£1.99,£7.19,20.0%,In Stock,Unilever Ireland Homecare,"Cleaner Planet PlanComfort Concentrate uses over 50% less packaging per wash compared to Comfort Regular, so not only are your clothes left feeling soft and smelling fresh, you're helping to care for the environment as well.To find out more visit: www.cleanerplanetplan.comwww.sustainable-cleaning.com",No
"Household, Cleaning & Pet Care",480860,4084500229624	,LENOR SPRING AWAKENING,8X1.1LTR,£2.79,£12.99,20.0%,In Stock,Interactive Irl Ltd,"Lenor Fabric Conditioner Spring Awakening 1.19L, 34 Washes",No
"Household, Cleaning & Pet Care",414467,5011417769782	,HARPIC WHITE & SHINE,12 x 750mls,£1.00,£7.59,20.0%,In Stock,SHS Distributors,www.cleanright.euwww.rbeuroinfo.com,No
"Household, Cleaning & Pet Care",413432,5011417559789	,HARPIC ACTIVE PINK,12 x 750mls,£1.00,£7.99,20.0%,In Stock,Harpic,www.happier-homes.comwww.rbeuroinfo.com,No
Soft Drinks,776647,5054267010710	,LUCOZADE ORANGE ENERGY,12X900MLS,£1.00,£8.99,20.0%,In Stock,Suntory GB Ltd,Lucozade Energy Orange 900ml,No
"Household, Cleaning & Pet Care",409066,8711600339743	,COMFORT BLUE 1.99,8 x 750mls,£1.99,£7.19,20.0%,In Stock,Comfort,Comfort  Blue skies Fabric Conditioner 21 Wash 750ml,No
Soft Drinks,776645,5054267010727	,LUCOZADE ORIGINAL ENERGY,12X900MLS,£1.00,£8.99,20.0%,In Stock,Suntory GB Ltd,Lucozade Energy Original 900ml,No
Soft Drinks,527558,5449000006004	,FANTA LEMON,24 x 330mls,£0.79,£8.69,20.0%,In Stock,Fanta,Fanta Icy Lemon 330ml Can,No
Soft Drinks,786630,5060608749423	,BPM FOCUS 1.30,24 x 500mls,£1.30,£14.99,20.0%,In Stock,Coca Cola HBC Northern Ireland,NA,No
Soft Drinks,449610,90495724	,LILT BOTTLE,24 x 500mls,£1.39,£13.99,20.0%,In Stock,Lilt,Lilt Fruit Crush Pineapple & Grapefruit 500ml,No
Soft Drinks,509781,5449000051547	,COCA COLA ORIGINAL CAN 6PACK,4 x 330mls,£4.29,£10.99,20.0%,In Stock,Coca-Cola,Coca-Cola Original Taste 6 x 330ml,No
Soft Drinks,690904,4060800106896	,PEPSI MAX TWIN,4 x 2ltr,£2.99,£8.49,20.0%,In Stock,Britvic Northern Ireland,Pepsi Max 2 x 2 Litres,No
